cod_parroquia	parroquia
PR140452	Cumanda (Cab. En Colonia Agricola Sevilla Del Oro)
PR140453	Huamboya
PR140454	Sangay (Cab. En Nayamanaca)
PR140550	Santiago De Mendez
PR140551	Copal
PR140552	Chupianza
PR140553	Patuca
PR140554	San Luis De El Acho (Cab. En El Acho)
PR140555	Santiago
PR140556	Tayuza
PR140557	San Francisco De Chinimbimi
PR140650	Sucua
PR140651	Asuncion
PR140652	Huambi
PR140653	Logrono
PR140654	Yaupi
PR140655	Santa Marianita De Jesus
PR140750	Huamboya
PR140751	Chiguaza
PR140752	Pablo Sexto
PR140850	San Juan Bosco
PR140851	Pan De Azucar
PR140852	San Carlos De Limon
PR140853	San Jacinto De Wakambeis
PR140854	Santiago De Pananza
PR140950	Taisha
PR140951	Huasaga (Cab. En Wampuik)
PR140952	Macuma
PR140953	Tuutinentza
PR140954	Pumpuentsa
PR141050	Logrono
PR141051	Yaupi
PR141052	Shimpis
PR141150	Pablo Sexto
